产品编号,类目,新品,产品型号,基本产品参数,图片路径
RH38MINI,CAMPING LIGHT,1,RH38MINI,"2W,40*112MM,2000MAH,BLK/WHT",data/images/RH38MINI.png
RHG3,CAMPING LIGHT,1,RHG3,CAMPING LIGHT,data/images/RHG3.png
RHE3S,CAMPING LIGHT,1,RHE3S,CAMPING LIGHT,data/images/RHE3S.png
RHC3PRO,CAMPING LIGHT,1,RHC3PRO,CAMPING LIGHT,data/images/RHC3PRO.png
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BRN203,NIGHT LIGHT,1,BRN203,NIGHT LIGHT,data/images/BRN203.png
BRN102,NIGHT LIGHT,1,BRN102,NIGHT LIGHT,data/images/BRN102.png
BRN609,NIGHT LIGHT,1,BRN609,NIGHT LIGHT,data/images/BRN609.png
BRN607,NIGHT LIGHT,1,BRN607,NIGHT LIGHT,data/images/BRN607.png
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BRC401,CELLING LAMP,1,BRC401,CELLING LAMP,data/images/BRC401.png
