产品编号,类目,新品,产品名称,图片路径,图片说明,排序,展示
P001,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,1,1
P002,CAMPING LIGHT,1,Camping Light 2,static/picture/port2.jpg,Rechargeable camping light,2,1
P003,CAMPING LIGHT,1,Camping Light 3,static/picture/port3.jpg,Tripod camping light,3,1
P004,CAMPING LIGHT,1,Camping Light 4,static/picture/port4.jpg,Warm portable camping light,4,1
P005,NIGHT LIGHT,1,Night Light 1,static/picture/port5.jpg,Hanging night light,5,1
P006,NIGHT LIGHT,1,Night Light 2,static/picture/port6.jpg,Wall sconce night light,6,1
P007,NIGHT LIGHT,1,Night Light 3,static/picture/port7.jpg,Motion sensor night light,7,1
P008,NIGHT LIGHT,1,Night Light 4,static/picture/port8.jpg,Smart motion sensor light,8,1
P009,NIGHT LIGHT,1,Night Light 5,static/picture/port9.jpg,Color temperature night lights,9,1
P010,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,10,1
P011,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,11,1
P012,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,12,1
P013,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,13,1
P014,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,14,1
P015,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,15,1
P016,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,16,1
P017,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,17,1
P018,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,18,1
P019,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,19,1
P020,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,20,1
P021,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,21,1
P022,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,22,1
P023,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,23,1
P024,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,24,1
P025,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,25,1
P026,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,26,1
P027,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,27,1
P028,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,28,1
P029,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,29,1
P030,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,30,1
P031,CAMPING LIGHT,1,Camping Light 1,static/picture/port1.jpg,Portable camping light,31,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
